Date,Close,High,Low,Open,Volume
2014-05-20,7.656185150146484,7.789580448185289,7.554383862119315,7.603530150950237,12640551
2014-05-21,7.782559871673584,7.796601142829052,7.505238106280094,7.642143485595871,10035559
2014-05-22,7.768519401550293,8.000206398002376,7.747457030839282,7.803623046524991,15137158
2014-05-23,8.544317245483398,8.544317245483398,7.75798674462177,7.786070206453097,31221824
2014-05-26,8.551338195800781,8.733878398036515,8.403900712655938,8.733878398036515,29993582
2014-05-27,8.526765823364258,8.618036394509401,8.407412706198208,8.533786919184925,21538042
2014-05-28,9.07438850402832,9.218314999986035,8.477620150966132,8.505703616151536,42571620
2014-05-29,8.846212387084961,9.0673681790433,8.670692340138592,8.976097607650246,31859135
2014-05-30,8.923441886901855,9.046306014401415,8.600484331814602,8.82164012876617,23517484
2014-06-03,8.589951515197754,8.962053915687404,8.589951515197754,8.881314542254607,16760280
2014-06-04,8.698776245117188,8.804088094888732,8.530277285482718,8.596974484127719,13017129
2014-06-05,8.835680961608887,8.839191050117561,8.568890350547347,8.670692103607475,13904234
2014-06-06,8.639098167419434,8.916419950320225,8.589952337326585,8.856742936538256,12217618
2014-06-09,8.421452522277832,8.628565167532283,8.41443142767183,8.537295530807878,9914812
2014-06-10,9.263949394226074,9.263949394226074,8.463578482204262,8.463578482204262,39184643
2014-06-11,9.425429344177246,9.650095246050295,9.127045144202627,9.30256612642861,54704770
2014-06-12,9.520208358764648,9.794020051333357,9.299054421522541,9.393834155408696,36333946
2014-06-13,9.509679794311523,9.797532838101224,9.299056982672592,9.40787801847067,31086822
2014-06-16,9.667646408081055,9.934437020820912,9.397344788179577,9.442980532233715,33407922
2014-06-17,9.688709259033203,9.878271503120757,9.551802938683606,9.58690750026285,23172918
2014-06-18,9.348198890686035,9.755405862645274,9.292031968318184,9.653603201024698,20774895
2014-06-19,9.263949394226074,9.853697542407437,9.141085273240861,9.411386890586844,32279222
2014-06-20,9.626206398010254,9.640275243053905,9.197125031669504,9.299119096176058,21869808
2014-06-23,9.626206398010254,9.626206398010254,9.626206398010254,9.626206398010254,0
2014-06-24,9.626206398010254,9.626206398010254,9.626206398010254,9.626206398010254,0
